0,1,2,3,4,5,6,7,8,9,10,11,12
"S/ 2,500",S/ 200 Mantenimiento,"La Mar, Pueblo Libre",118 m²,118 m²,3 dorm.,3 baños,"Alquiler de Departamento en Pueblo LibreAlquiler de departamento en Pueblo Libre, ubicado en Av. Manuel Cipriano Dulanto con Av. Coronel Juan Valer Sandoval, a 5 cuadras de la Av. La Marina, cerca al Colegio La Unión, del Colegio Andrés Bello y a 5 minutos de Plaza San Miguel. Detalle del inmueble: - Área: 118m2. - Piso 17. - Sala Comedor con vista panorámica a la calle. - Cocina cerrada con reposteros altos y bajos. - Sala de estar. - 03 Dormitorios con closets. - 02 Baños completos (01 en dormitorio principal). - Cuarto de lavandería. - 01 Cuarto y baño de servicio. - incluye cochera. * Vigilancia 24x7 y Sala de sum para eventos en edificio. - Antiguedad: 6 años aprox. - Mantenimiento: S/. 200 soles. - Alquiler mensual: S/. 2, 600 soles",Destacado,Contactar,,,
"S/ 1,800","San Miguel, Lima",120 m²,120 m²,3 dorm.,2 baños,"Alquilo Departamento de 120 m2 Vista Calle Av Venezuela 3 Dorm. 2 BañosAlquilo amplio departamento con vista A la calle de 120 M2 en av. venezuela cuadra 60 en tercer piso sin ascensor de 3 dormitorios, 2 baños, sala comedor amplia con vista A la calle, cocina amplia. Se alquila en S/. 1, 800 soles se pide 1 mes de adelanto Y 2 mes de garantia. informes Y citas al 9*8*6*5*2*0*6*2*9.",Destacado,Contactar,,,,
"S/ 3,000",(USD 850),"San Miguel, Lima",95 m²,95 m²,3 dorm.,3 baños,"Alquiler de Departamento San Miguel LimaModerno y lindo departamento con vista al mar, ubicado en San Miguel. Consta de: - 95m2. - Se alquila sin amoblar. Piso 13. - 03 dormitorios, todos con vista al mar. - Sala y comedor amplios, con balcón vista al mar y la sala cuenta con chimenea de bio etanol. - Sala de estudio con biblioteca. - Cocina de concepto abierto con isla y encimeras en quarzo blanco. - Lavandería con almacenamiento y mesada de granito. - 02 Estacionamientos en sótano, lineales e independientes. - 02 Depósitos amplios. - El dpto cuenta con gas natural. - El edificio cuenta Lobby Recepción, vigilancia 24/7. - Club house: gimnasio, sala de adultos, sala de niños, parque para niños, terraza con zona de Lunch, pista de trote, parrillas, piscina para adultos y piscina para niños. . Llámanos: (+51) Ver datos. Escríbenos: 8hn3. . . Asesora Inmobiliaria. Cód. Reg. Mvcs pn-Ver datos. . . Síguenos y encuentra más opciones en: Facebook -> sbs Asesores Inmobiliarios. Instagram -> sbs. AsesoresInmobiliarios",Destacado,Contactar,,,
"S/ 2,800",6%,S/ 30 Mantenimiento,Calle El Gondal,"Pueblo Libre, Lima",150 m²,150 m²,3 dorm.,2 baños,"Alquilo Departamento 3 Dorm. Estreno Pueblo LibreAlquilo departamento de estreno en tercer piso 150 m2 con vista a la calle. Ubicado cerca de la Av. Del Rio, calle muy tranquila con un parque a unos pasos. Edificio de solo 3 departamentos, uno por piso. Departamento con acabados de primera, consta de sala comedor muy amplia con vista a la calle y un pequeño balcón a todo lo largo. Cocina con reposteros altos y bajos, campana extractora, lavandería. Tres dormitorios todos con tamaños similares donde pueden entra cama de dos plazas en dos de ellas y queen size en una de ellas, dos baños completos. El único gasto común en el edificio es de agua, no se paga mantenimiento. Cuenta con un estacionamiento externo en el frontis del edificio. Renta S/ 2, 800. 00",Destacado,Contactar,
"S/ 3,000",S/ 280 Mantenimiento,"San Miguel, Lima",95 m²,95 m²,3 dorm.,2 baños,"Moderno Depa Cerca Al AeropuertoVisitas con Juan García 9-. 8. 4. - 2. 6. 4. -3. 8. 8. Tenemos en alquiler este departamento precioso, ideal si trabajas viajando y necesitas estar cerca al aeropuerto pero en un lugar bonito y seguro. El depa es súper amplio y cómodo, con una vista preciosa para disfrutar los sunsets y la vista al mar. Además viene con 2 cocheras y 2 depósitos. Precio negociable. Disponible a partir del 1ro de Agosto. Para visitarlo llamar a Juan García al 9. 8. 4. 2. 6. 4. 3. 8. 8",Destacado,Dueño directo,Contactar,,
"S/ 2,900",(USD 798),S/ 1 Mantenimiento,Joaquín Bernal 568,"Lince, Lima",100 m²,100 m²,3 dorm.,2 baños,"Se Alquila Bonito Dpto a Pocos m del Parque Mariscal Castilla Lince Lindo Dpto. De estreno, ubicado en tercer piso sin ascensor en quinta, bastante iluminado y ventilado, a metros de amplio parque emblemático del distrito. Consta de salida comedor, 3 dormitorios el principal con baño incorporado y closet, los otros 2 también con closet (uno para cama King) comparten baño secundario, cocina con muebles altos y bajos lugar para refrigeradora de dos puertas verticales y comedorcito de diario, lavandería. T. C. 3. 70Tipo de cambio referencial, sujeto a variación diaria por fluctuación del mercado.",Contactar,,
"S/ 3,000",S/ 70 Mantenimiento,Calle micaela bastidas 327,"San Miguel, Lima",210 m²,210 m²,5 dorm.,3 baños,"Se Alquila Departamento Triplex - 210 m - San MiguelContacto: Vanessa Corimayhua. Cel: 9. 7. 1. 1. 4. 8. 3. 1. 7. Vive cerca a todo! Departamento triplex, estratégicamente ubicado en el distrito de San Miguel. Cerca a parques, colegios, restaurantes. A 3 min de la upc y a 5 minutos de Plaza San Miguel. Rápida a salida a la Av. Faucett, zona segura y tranquila con vigilancia permanente. El Triplex, con excelente ventilación e iluminación natural, ubicado en el 4to piso cuenta con: Sala. Comedor. Cocina tipo americana con muebles altos y bajos. 5 habitaciones amplias. 3 baños (1 dentro de la habitación principal) Amplia Terraza. 1 espacio cerrado tipo depósito. Términos: 2 meses de garantía y 1 de adelanto. Contrato por 1 año. Mantenimiento S/. 70 (incluye consumo de agua del departamento) Alquiler mensual S/. 3000. Tu mascota es bienvenida. Contacto: Vanessa Corimayhua. Cel: 9. 7. 1. 1. 4. 8. 3. 1. 7",Contactar,,,
"S/ 2,600",S/ 75 Mantenimiento,Bernardo O'Higgins JACQUELIN ITURRIAGA,"San Martin, Pueblo Libre",107 m²,107 m²,3 dorm.,2 baños,"Alquilo Amplio Departarmento Frente a Parque de La Cruz en Pueblo LibreContacto: Jacquelin Iturriaga. ruc: 1 0 0 6 4 6 9 7 4 3 4. Ver datos. 9 8 4 7 6 0 1 0 3 - (01) 6 9 3 7 9 7 0. Alquilo Amplio departamento de 107. 24 m2 en tercer piso con 3 dormitorios ubicado en Calle Bernardo O'Higgins frente al Parque de La Cruz en Pueblo Libre. Distribucion: • Amplia e iluminada Sala / Comedor con pisos de mayolica. • Cocina ventilada con pisos de mayolica. • Balcón con vista exterior a Parque de La Cruz. • 3 dormitorios con closet y pisos laminados. • 2 baños completos. • El Edificio cuenta con escaleras descansadas. • no cuenta con estacionamiento. Ubicado en la mejor zona de Pueblo Libre, zona residencial muy tranquila y segura, a un solo paso del Parque San Martín, cerca de supermercados como Plaza Vea, a unas cuadras de la Universidad Ruiz de Montoya y unos 10 minutos de las Universidades Católica, Garcilazo y San Marcos, colegios como Abraham Valdelomar, San Lucas, El Carmelo, Canonesas de La Cruz y Madre Loreto. También encontrarás pollerías como el emblemático Timbo, Rockys, Kfc, cafés, clínicas como Stella Maris, Centenario, hospitales como Santa Rosa y variedad de negocios locales. A pocas cuadras de avenidas principales como la avenida Bolívar, Sucre, San Martin y Brasil. Su ubicación estratégica, a poca distancia del corazón de Pueblo Libre, lo hace una interesante alternativa porque se encuentra en uno de los distritos más turísticos de Lima por su historia, gastronomía y tradición, la cual irás conociendo al visitar el Jardín del Ombu, el Museo Larco, el Museo Nacional de Arqueología, Antropología e Historia del Perú, La Casa de Los Libertadores, la Taberna Queirolo y el Restaurante El Bolivariano. Precio de alquiler: S/ 2, 600. 00. Condiciones: Contrato mínimo de 1 año (1 mes de garantía x 1 mes de adelanto) Mantenimiento: S/ 75. 00 + S/ 35. 00 agua (de acuerdo a consumo). Luz Independiente. Se acepta mascota pequeña. Cualquier consulta adicional, no dude en comunicarse conmigo, si desea una visita al Dpto. Previa cita. Contacto: Jacquelin Iturriaga. ruc: 1 0 0 6 4 6 9 7 4 3 4. Ver datos. 9 8 4 7 6 0 1 0 3 - (01) 6 9 3 7 9 7 0",Contactar,,,
"S/ 2,400",(USD 668),S/ 60 Mantenimiento,URBANIZACION LAS LEYENDAS,"Las Leyendas, San Miguel",120 m²,120 m²,3 dorm.,2 baños,"Se Alquila Amplio Departamento en San MiguelUbicada en la urbanización las leyendas, escardo -san miguel. amplio departamento de 120 M2. distribución: * sala Y comedor. *amplia cocina con cuarto de deposito Y pequeña terraza O lavanderia. *1 dormitorio principal + baño completo. *2 dormitorios secundarios con closet. *baño completo. precio A tratar: S/. 2400 incluye servicios de luz Y agua +mantenimiento. 1X1",Contactar,,
"S/ 3,000",S/ 200 Mantenimiento,Jr. Estados Unidos 1295,"Jesús María, Lima",152 m²,154 m²,3 dorm.,3 baños,"Alquilo Hermoso Flat por Metro de PershingContacto: ana maria ronchetta // cel: 959*883*206. ¡Este Departamento puede ser el hogar perfecto para tu familia! Se alquila hermoso y remodelado departamento en Jesús María, a unos pasos del Metro de Pershing. Está situado en el décimo piso, y su ubicación es privilegiada, le permite disfrutar de un entorno tranquilo, con fácil acceso a avenidas principales como Av. Javier Prado, Salaverry, entre otros. * Sala - comedor, perfecta para disfrutar de momentos inolvidables con la familia y amigos, y con una excelente vista. * Una hermosa cocina remodelada, con hermosos reposteros altos y bajos. * Cuarto y baño de servicios. * Lavandería amplia. * 3 muy amplias e iluminadas habitaciones. * 2 Baños completos y remodelados. * Ascensor. * Estacionamiento libre en el edificio a disposición. No se permiten mascotas. Mantenimiento: S/. 200 soles, incluye agua, seguridad 24/7 y mantenimiento de áreas comunes y elevadores. 2 meses de Garantía. 1 mes de adelanto. facilidad de visita",Contactar,,,
